token_id,name,description,image_url,source_id,rarity,types,category,illustrator,hp,stage,regulation_mark,set_id,set_name
001,Bulbasaur,"Bind Down: During your opponent's next turn, the Defending Pokémon can't retreat. 10",https://assets.tcgdex.net/en/me/me01/001/high.png,me01-001,Common,Grass,Pokemon,HYOGONOSUKE,80,Basic,I,me01,Mega Evolution
002,Ivysaur,Razor Leaf:  60,https://assets.tcgdex.net/en/me/me01/002/high.png,me01-002,Common,Grass,Pokemon,Takumi Wada,110,Stage1,I,me01,Mega Evolution
003,Mega Venusaur ex,"Solar Transfer: As often as you like during your turn, you may use this Ability. Move a Basic {G} Energy from 1 of your Pokémon to another of your Pokémon. Jungle Dump: Heal 30 damage from this Pokémon. 240",https://assets.tcgdex.net/en/me/me01/003/high.png,me01-003,Double rare,Grass,Pokemon,5ban Graphics,380,Stage2,I,me01,Mega Evolution
004,Exeggcute,"Jam-Packed: Search your deck for a Basic {G} Energy card and attach it to this Pokémon. Then, shuffle your deck.",https://assets.tcgdex.net/en/me/me01/004/high.png,me01-004,Common,Grass,Pokemon,aspara,60,Basic,I,me01,Mega Evolution
005,Exeggutor,"Guard Press: During your opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance). 30 / Stomping Wood: This attack does 30 more damage for each {G} Energy attached to this Pokémon. 60+",https://assets.tcgdex.net/en/me/me01/005/high.png,me01-005,Uncommon,Grass,Pokemon,Kazumasa Yasukuni,140,Stage1,I,me01,Mega Evolution
006,Tangela,Poison Powder: Your opponent's Active Pokémon is now Poisoned. / Hook:  30,https://assets.tcgdex.net/en/me/me01/006/high.png,me01-006,Common,Grass,Pokemon,Yuriko Akase,80,Basic,I,me01,Mega Evolution
007,Tangrowth,"Absorb: Heal 30 damage from this Pokémon. 30 / Pumped-Up Whip: If this Pokémon has at least 2 extra Energy attached (in addition to this attack's cost), this attack does 140 more damage. 120+",https://assets.tcgdex.net/en/me/me01/007/high.png,me01-007,Uncommon,Grass,Pokemon,REND,150,Stage1,I,me01,Mega Evolution
008,Chikorita,Razor Leaf:  20,https://assets.tcgdex.net/en/me/me01/008/high.png,me01-008,Common,Grass,Pokemon,kamonabe,70,Basic,I,me01,Mega Evolution
009,Bayleef,Push Down: Switch out your opponent's Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.) 50,https://assets.tcgdex.net/en/me/me01/009/high.png,me01-009,Common,Grass,Pokemon,nisimono,110,Stage1,I,me01,Mega Evolution
010,Meganium,Wild Growth: Each Basic {G} Energy attached to all of your Pokémon provides {G}{G} Energy. The effect of Wild Growth doesn't stack. Solar Beam:  140,https://assets.tcgdex.net/en/me/me01/010/high.png,me01-010,Rare,Grass,Pokemon,Yoriyuki Ikegami,160,Stage2,I,me01,Mega Evolution
011,Shuckle,"Fermented Juice: Once during your turn, if this Pokémon has any {G} Energy attached, you may use this Ability. Heal 30 damage from 1 of your Pokémon. Rollout:  30",https://assets.tcgdex.net/en/me/me01/011/high.png,me01-011,Uncommon,Grass,Pokemon,Shinya Komatsu,80,Basic,I,me01,Mega Evolution
012,Celebi,"Traverse Time: Search your deck for up to 3 in any combination of {G} Pokémon and Stadium cards, reveal them, and put them into your hand. Then, shuffle your deck. / Solar Cutter:  30",https://assets.tcgdex.net/en/me/me01/012/high.png,me01-012,Uncommon,Grass,Pokemon,Naoki Saito,80,Basic,I,me01,Mega Evolution
013,Seedot,Nap: Heal 20 damage from this Pokémon. / Seed Bomb:  20,https://assets.tcgdex.net/en/me/me01/013/high.png,me01-013,Common,Grass,Pokemon,Miki Tanaka,60,Basic,I,me01,Mega Evolution
014,Nuzleaf,Pound:  30 / Low Kick:  50,https://assets.tcgdex.net/en/me/me01/014/high.png,me01-014,Common,Grass,Pokemon,takashi shiraishi,100,Stage1,I,me01,Mega Evolution
015,Shiftry,"Reversing Gust: Flip a coin. If heads, choose 1 of your opponent's Pokémon. Shuffle that Pokémon and all attached cards into their deck. / Perplex: Your opponent's Active Pokémon is now Confused. 100",https://assets.tcgdex.net/en/me/me01/015/high.png,me01-015,Uncommon,Grass,Pokemon,Uninori,160,Stage2,I,me01,Mega Evolution
016,Nincada,Scratch:  20,https://assets.tcgdex.net/en/me/me01/016/high.png,me01-016,Common,Grass,Pokemon,Kuroimori,50,Basic,I,me01,Mega Evolution
017,Ninjask,"Cast-Off Shell: Once during your turn, when you play this Pokémon from your hand to evolve 1 of your Pokémon, you may use this Ability. Search your deck for a Shedinja and put it onto your Bench. Then, shuffle your deck. U-turn: Switch this Pokémon with 1 of your Benched Pokémon. 90",https://assets.tcgdex.net/en/me/me01/017/high.png,me01-017,Uncommon,Grass,Pokemon,Apios,80,Stage1,I,me01,Mega Evolution
018,Dhelmise,"Earthen Power: If you have a Stadium in play, this attack does 50 more damage. 30+",https://assets.tcgdex.net/en/me/me01/018/high.png,me01-018,Common,Grass,Pokemon,Haru Akasaka,120,Basic,I,me01,Mega Evolution
019,Vulpix,Stampede:  10 / Combustion:  20,https://assets.tcgdex.net/en/me/me01/019/high.png,me01-019,Common,Fire,Pokemon,Naoyo Kimura,70,Basic,I,me01,Mega Evolution
020,Ninetales,"Supernatural Shapeshifter: Discard the top card of your deck, and if that card is a Supporter card, use the effect of that card as the effect of this attack. / Combustion:  60",https://assets.tcgdex.net/en/me/me01/020/high.png,me01-020,Uncommon,Fire,Pokemon,satoma,120,Stage1,I,me01,Mega Evolution
021,Numel,"Call for Family: Search your deck for up to 2 Basic Pokémon and put them onto your Bench. Then, shuffle your deck. / Flare:  30",https://assets.tcgdex.net/en/me/me01/021/high.png,me01-021,Common,Fire,Pokemon,Wintr Wandr,80,Basic,I,me01,Mega Evolution
022,Mega Camerupt ex,"Roasting Heat: If your opponent's Active Pokémon is Burned, this attack does 160 more damage. 80+ / Volcanic Meteor: Discard 2 Energy from this Pokémon. 280",https://assets.tcgdex.net/en/me/me01/022/high.png,me01-022,Double rare,Fire,Pokemon,5ban Graphics,340,Stage1,I,me01,Mega Evolution
023,Litleo,Flare:  30,https://assets.tcgdex.net/en/me/me01/023/high.png,me01-023,Common,Fire,Pokemon,Kurata So,70,Basic,I,me01,Mega Evolution
024,Pyroar,"Intimidating Fang: As long as this Pokémon is in the Active Spot, attacks used by your opponent's Active Pokémon do 30 less damage (before applying Weakness and Resistance). Searing Flame: Your opponent's Active Pokémon is now Burned. 70",https://assets.tcgdex.net/en/me/me01/024/high.png,me01-024,Uncommon,Fire,Pokemon,KEIICHIRO ITO,130,Stage1,I,me01,Mega Evolution
025,Volcanion,Singe: Your opponent's Active Pokémon is now Burned. / Backfire: Put 2 {R} Energy attached to this Pokémon into your hand. 130,https://assets.tcgdex.net/en/me/me01/025/high.png,me01-025,Uncommon,Fire,Pokemon,GIDORA,130,Basic,I,me01,Mega Evolution
026,Scorbunny,"Wild Kick: Flip a coin. If tails, this attack does nothing. 30",https://assets.tcgdex.net/en/me/me01/026/high.png,me01-026,Common,Fire,Pokemon,svlt,70,Basic,I,me01,Mega Evolution
027,Raboot,Jumping Kick: This attack does 40 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),https://assets.tcgdex.net/en/me/me01/027/high.png,me01-027,Common,Fire,Pokemon,Narumi Sato,100,Stage1,I,me01,Mega Evolution
028,Cinderace,"Explosiveness: If this Pokémon is in your hand when you are setting up to play, you may put it face down in the Active Spot. Turbo Flare: Search your deck for up to 3 Basic Energy cards and attach them to your Benched Pokémon in any way you like. Then, shuffle your deck. 50",https://assets.tcgdex.net/en/me/me01/028/high.png,me01-028,Rare,Fire,Pokemon,REND,160,Stage2,I,me01,Mega Evolution
029,Sizzlipede,Ram:  10 / Combustion:  50,https://assets.tcgdex.net/en/me/me01/029/high.png,me01-029,Common,Fire,Pokemon,GIDORA,80,Basic,I,me01,Mega Evolution
030,Centiskorch,"Coiling Crush: Flip 2 coins. For each heads, discard an Energy from your opponent's Active Pokémon. 50 / Heat Crawler:  140",https://assets.tcgdex.net/en/me/me01/030/high.png,me01-030,Uncommon,Fire,Pokemon,Shiburingaru,140,Stage1,I,me01,Mega Evolution
031,Chi-Yu,"Scorching Earth: If your opponent has a Stadium in play, discard it. If you do, your opponent can't play any Stadium cards from their hand during their next turn. 40",https://assets.tcgdex.net/en/me/me01/031/high.png,me01-031,Uncommon,Fire,Pokemon,Gemi,110,Basic,I,me01,Mega Evolution
032,Mantine,"Call for Family: Search your deck for up to 2 Basic Pokémon and put them onto your Bench. Then, shuffle your deck. / Waterfall:  50",https://assets.tcgdex.net/en/me/me01/032/high.png,me01-032,Common,Water,Pokemon,Shimaris Yukichi,110,Basic,I,me01,Mega Evolution
033,Corphish,Vise Grip:  10 / Take Down: This Pokémon also does 10 damage to itself. 30,https://assets.tcgdex.net/en/me/me01/033/high.png,me01-033,Common,Water,Pokemon,Sanosuke Sakuma,80,Basic,I,me01,Mega Evolution
034,Kyogre,"Riptide: This attack does 20 damage for each Basic {W} Energy card in your discard pile. Then, shuffle those cards into your deck. 20× / Swirling Waves: Discard 2 Energy from this Pokémon. 130",https://assets.tcgdex.net/en/me/me01/034/high.png,me01-034,Rare,Water,Pokemon,Nisota Niso,150,Basic,I,me01,Mega Evolution
035,Snover,Beat:  10 / Icy Snow:  30,https://assets.tcgdex.net/en/me/me01/035/high.png,me01-035,Common,Water,Pokemon,Pani Kobayashi,90,Basic,I,me01,Mega Evolution
036,Mega Abomasnow ex,"Hammer-lanche: Discard the top 6 cards of your deck, and this attack does 100 damage for each Basic {W} Energy card that you discarded in this way. 100× / Frost Barrier: During your opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance). 200",https://assets.tcgdex.net/en/me/me01/036/high.png,me01-036,Double rare,Water,Pokemon,5ban Graphics,350,Stage1,I,me01,Mega Evolution
037,Clauncher,Wave Splash:  50,https://assets.tcgdex.net/en/me/me01/037/high.png,me01-037,Common,Water,Pokemon,Tomokazu Komiya,80,Basic,I,me01,Mega Evolution
038,Clawitzer,"Fall Back to Reload: Once during your turn, when this Pokémon moves from the Active Spot to your Bench, you may use this Ability. Attach up to 2 Basic {W} Energy cards from your hand to this Pokémon. Aqua Launcher: Discard all Energy from this Pokémon. 210",https://assets.tcgdex.net/en/me/me01/038/high.png,me01-038,Rare,Water,Pokemon,Anesaki Dynamic,130,Stage1,I,me01,Mega Evolution
039,Sobble,"Surprise Attack: Flip a coin. If tails, this attack does nothing. 30",https://assets.tcgdex.net/en/me/me01/039/high.png,me01-039,Common,Water,Pokemon,Taira Akitsu,70,Basic,I,me01,Mega Evolution
040,Drizzile,Double Stab: Flip 2 coins. This attack does 30 damage for each heads. 30×,https://assets.tcgdex.net/en/me/me01/040/high.png,me01-040,Common,Water,Pokemon,Souichirou Gunjima,100,Stage1,I,me01,Mega Evolution
041,Inteleon,"Bring Down: Choose a Pokémon in play (yours or your opponent's) that has the least HP remaining, except for this Pokémon, and it is Knocked Out. / Water Shot: Discard an Energy from this Pokémon. 110",https://assets.tcgdex.net/en/me/me01/041/high.png,me01-041,Uncommon,Water,Pokemon,akagi,150,Stage2,I,me01,Mega Evolution
042,Snom,"Hide: Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon.",https://assets.tcgdex.net/en/me/me01/042/high.png,me01-042,Common,Water,Pokemon,Kagemaru Himeno,50,Basic,I,me01,Mega Evolution
043,Frosmoth,Chilling Wings: This attack does 20 damage to each of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) Your opponent's Active Pokémon is now Asleep.,https://assets.tcgdex.net/en/me/me01/043/high.png,me01-043,Uncommon,Water,Pokemon,miki kudo,110,Stage1,I,me01,Mega Evolution
044,Eiscue,"Freezing Headbutt: Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed. 20 / Tackle:  90",https://assets.tcgdex.net/en/me/me01/044/high.png,me01-044,Common,Water,Pokemon,Akira Komayama,110,Basic,I,me01,Mega Evolution
045,Magnemite,Beam:  10,https://assets.tcgdex.net/en/me/me01/045/high.png,me01-045,Common,Lightning,Pokemon,Krgc,70,Basic,I,me01,Mega Evolution
046,Magneton,"Thunder Shock: Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed. 30",https://assets.tcgdex.net/en/me/me01/046/high.png,me01-046,Common,Lightning,Pokemon,Saboteri,90,Stage1,I,me01,Mega Evolution
047,Magnezone,"Upper Spark: If this Pokémon evolved from Magneton during this turn, this attack does 120 more damage. 50+ / Flashing Bolt: During your next turn, this Pokémon can't use Flashing Bolt. 160",https://assets.tcgdex.net/en/me/me01/047/high.png,me01-047,Uncommon,Lightning,Pokemon,nagimiso,160,Stage2,I,me01,Mega Evolution
048,Raikou,"Electro Fall: If you have at least 4 {L} Energy in play, this attack does 90 more damage. 30+",https://assets.tcgdex.net/en/me/me01/048/high.png,me01-048,Rare,Lightning,Pokemon,Takumi Wada,120,Basic,I,me01,Mega Evolution
049,Electrike,Thunder Jolt: This Pokémon also does 10 damage to itself. 30,https://assets.tcgdex.net/en/me/me01/049/high.png,me01-049,Common,Lightning,Pokemon,Naoki Saito,70,Basic,I,me01,Mega Evolution
050,Mega Manectric ex,"Flash Ray: During your opponent's next turn, prevent all damage done to this Pokémon by attacks from Basic Pokémon. 120 / Riotous Blasting: You may discard all Energy from this Pokémon and have this attack do 130 more damage. 200+",https://assets.tcgdex.net/en/me/me01/050/high.png,me01-050,Double rare,Lightning,Pokemon,5ban Graphics,330,Stage1,I,me01,Mega Evolution
051,Pachirisu,"Electrified Incisors: During your opponent's next turn, whenever they attach an Energy card from their hand to the Defending Pokémon, place 8 damage counters on that Pokémon. 10",https://assets.tcgdex.net/en/me/me01/051/high.png,me01-051,Common,Lightning,Pokemon,tono,70,Basic,I,me01,Mega Evolution
052,Helioptile,Double Scratch: Flip 2 coins. This attack does 10 damage for each heads. 10×,https://assets.tcgdex.net/en/me/me01/052/high.png,me01-052,Common,Lightning,Pokemon,Yuka Morii,70,Basic,I,me01,Mega Evolution
053,Heliolisk,Dazzle Blast: Your opponent's Active Pokémon is now Confused. 20 / Head Bolt:  70,https://assets.tcgdex.net/en/me/me01/053/high.png,me01-053,Common,Lightning,Pokemon,Nakamura Ippan,120,Stage1,I,me01,Mega Evolution
054,Abra,Teleportation Attack: Switch this Pokémon with 1 of your Benched Pokémon. 10,https://assets.tcgdex.net/en/me/me01/054/high.png,me01-054,Common,Psychic,Pokemon,Orca,50,Basic,I,me01,Mega Evolution
055,Kadabra,"Psychic Draw: Once during your turn, when you play this Pokémon from your hand to evolve 1 of your Pokémon, you may use this Ability. Draw 2 cards. Super Psy Bolt:  30",https://assets.tcgdex.net/en/me/me01/055/high.png,me01-055,Uncommon,Psychic,Pokemon,Saboteri,80,Stage1,I,me01,Mega Evolution
056,Alakazam,"Psychic Draw: Once during your turn, when you play this Pokémon from your hand to evolve 1 of your Pokémon, you may use this Ability. Draw 3 cards. Powerful Hand: Place 2 damage counters on your opponent's Active Pokémon for each card in your hand.",https://assets.tcgdex.net/en/me/me01/056/high.png,me01-056,Rare,Psychic,Pokemon,Bun Toujo,140,Stage2,I,me01,Mega Evolution
057,Jynx,Psychic: This attack does 30 more damage for each Energy attached to your opponent's Active Pokémon. 30+,https://assets.tcgdex.net/en/me/me01/057/high.png,me01-057,Common,Psychic,Pokemon,Minahamu,110,Basic,I,me01,Mega Evolution
058,Ralts,Collect: Draw a card. / Headbutt:  10,https://assets.tcgdex.net/en/me/me01/058/high.png,me01-058,Common,Psychic,Pokemon,Terada Tera,70,Basic,I,me01,Mega Evolution
059,Kirlia,"Call Sign: Search your deck for up to 3 Pokémon, reveal them, and put them into your hand. Then, shuffle your deck. / Psyshot:  30",https://assets.tcgdex.net/en/me/me01/059/high.png,me01-059,Common,Psychic,Pokemon,satoma,100,Stage1,I,me01,Mega Evolution
060,Mega Gardevoir ex,"Overflowing Wishes: For each of your Benched Pokémon, search your deck for a Basic {P} Energy card and attach it to that Pokémon. Then, shuffle your deck. / Mega Symphonia: This attack does 50 damage for each {P} Energy attached to all of your Pokémon. 50×",https://assets.tcgdex.net/en/me/me01/060/high.png,me01-060,Double rare,Psychic,Pokemon,takuyoa,360,Stage2,I,me01,Mega Evolution
061,Shedinja,"Fragile Husk: If this Pokémon is Knocked Out by damage from an attack from your opponent's Pokémon ex, your opponent can't take any Prize cards for it. Damage Beat: This attack does 20 damage for each damage counter on your opponent's Active Pokémon. 20×",https://assets.tcgdex.net/en/me/me01/061/high.png,me01-061,Uncommon,Psychic,Pokemon,IKEDA Saki,60,Stage1,I,me01,Mega Evolution
062,Spoink,Triple Spin: Flip 3 coins. This attack does 10 damage for each heads. 10×,https://assets.tcgdex.net/en/me/me01/062/high.png,me01-062,Common,Psychic,Pokemon,toi8,70,Basic,I,me01,Mega Evolution
063,Grumpig,"Energized Steps: Once during your turn, when you play this Pokémon from your hand to evolve 1 of your Pokémon, you may use this Ability. Look at the top 4 cards of your deck and attach any number of Basic Energy cards you find there to your Pokémon in any way you like. Shuffle the other cards back into your deck. Psychic Sphere:  60",https://assets.tcgdex.net/en/me/me01/063/high.png,me01-063,Uncommon,Psychic,Pokemon,cochi8i,120,Stage1,I,me01,Mega Evolution
064,Xerneas,"Geo Gate: Search your deck for up to 3 Basic {P} Pokémon and put them onto your Bench. Then, shuffle your deck. / Bright Horns: During your next turn, this Pokémon can't use Bright Horns. 120",https://assets.tcgdex.net/en/me/me01/064/high.png,me01-064,Rare,Psychic,Pokemon,Kazumasa Yasukuni,120,Basic,I,me01,Mega Evolution
065,Greavard,Stampede:  10 / Take Down: This Pokémon also does 10 damage to itself. 40,https://assets.tcgdex.net/en/me/me01/065/high.png,me01-065,Common,Psychic,Pokemon,Narumi Sato,80,Basic,I,me01,Mega Evolution
066,Houndstone,"Horrifying Bite: Flip a coin until you get tails. For each heads, choose a random card from your opponent's hand. Your opponent reveals those cards and shuffles them into their deck. 30 / Hammer In:  130",https://assets.tcgdex.net/en/me/me01/066/high.png,me01-066,Uncommon,Psychic,Pokemon,matazo,140,Stage1,I,me01,Mega Evolution
067,Gimmighoul,Slap:  10,https://assets.tcgdex.net/en/me/me01/067/high.png,me01-067,Common,Psychic,Pokemon,Takeshi Nakamura,70,Basic,I,me01,Mega Evolution
068,Sandshrew,Dig Claws:  10 / Mud-Slap:  20,https://assets.tcgdex.net/en/me/me01/068/high.png,me01-068,Common,Fighting,Pokemon,Shinji Kanda,70,Basic,I,me01,Mega Evolution
069,Sandslash,"Sand Attack: During your opponent's next turn, if the Defending Pokémon tries to use an attack, your opponent flips a coin. If tails, that attack doesn't happen. 50 / Mud Shot:  100",https://assets.tcgdex.net/en/me/me01/069/high.png,me01-069,Common,Fighting,Pokemon,imoniii,120,Stage1,I,me01,Mega Evolution
070,Onix,"Bind: Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed. 30 / Strength:  100",https://assets.tcgdex.net/en/me/me01/070/high.png,me01-070,Common,Fighting,Pokemon,Uta,120,Basic,I,me01,Mega Evolution
071,Tyrogue,Pow-Pow Punching: Flip a coin until you get tails. This attack does 30 more damage for each heads. 10+,https://assets.tcgdex.net/en/me/me01/071/high.png,me01-071,Common,Fighting,Pokemon,OKUBO,30,Basic,I,me01,Mega Evolution
072,Makuhita,Corkscrew Punch:  10 / Confront:  30,https://assets.tcgdex.net/en/me/me01/072/high.png,me01-072,Common,Fighting,Pokemon,Jerky,80,Basic,I,me01,Mega Evolution
073,Hariyama,"Heave-Ho Catcher: Once during your turn, when you play this Pokémon from your hand to evolve 1 of your Pokémon, you may use this Ability. Switch in 1 of your opponent's Benched Pokémon to the Active Spot. Wild Press: This Pokémon also does 70 damage to itself. 210",https://assets.tcgdex.net/en/me/me01/073/high.png,me01-073,Rare,Fighting,Pokemon,GOSSAN,150,Stage1,I,me01,Mega Evolution
074,Lunatone,"Lunar Cycle: Once during your turn, if you have Solrock in play, you may discard a Basic {F} Energy card from your hand in order to use this Ability. Draw 3 cards. You can't use more than 1 Lunar Cycle Ability each turn. Power Gem:  50",https://assets.tcgdex.net/en/me/me01/074/high.png,me01-074,Rare,Fighting,Pokemon,Whisker,110,Basic,I,me01,Mega Evolution
075,Solrock,"Cosmic Beam: If you don't have Lunatone on your Bench, this attack does nothing. This attack's damage isn't affected by Weakness or Resistance. 70",https://assets.tcgdex.net/en/me/me01/075/high.png,me01-075,Uncommon,Fighting,Pokemon,Whisker,110,Basic,I,me01,Mega Evolution
076,Riolu,"Accelerating Stab: During your next turn, this Pokémon can't use Accelerating Stab. 30",https://assets.tcgdex.net/en/me/me01/076/high.png,me01-076,Common,Fighting,Pokemon,hncl,80,Basic,I,me01,Mega Evolution
077,Mega Lucario ex,"Aura Jab: Attach up to 3 Basic {F} Energy cards from your discard pile to your Benched Pokémon in any way you like. 130 / Mega Brave: During your next turn, this Pokémon can't use Mega Brave. 270",https://assets.tcgdex.net/en/me/me01/077/high.png,me01-077,Double rare,Fighting,Pokemon,5ban Graphics,340,Stage1,I,me01,Mega Evolution
078,Croagunk,Smack:  20,https://assets.tcgdex.net/en/me/me01/078/high.png,me01-078,Common,Fighting,Pokemon,matazo,70,Basic,I,me01,Mega Evolution
079,Toxicroak,Reckless Charge: This Pokémon also does 20 damage to itself. 70,https://assets.tcgdex.net/en/me/me01/079/high.png,me01-079,Common,Fighting,Pokemon,Hasuno,130,Stage1,I,me01,Mega Evolution
080,Marshadow,"Shadowy Side Kick: If your opponent's Pokémon is Knocked Out by damage from this attack, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon. 60",https://assets.tcgdex.net/en/me/me01/080/high.png,me01-080,Uncommon,Fighting,Pokemon,Tomomi Ozaki,90,Basic,I,me01,Mega Evolution
081,Stonjourner,"Stony Kick: This attack also does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) 20 / Boundless Power: During your next turn, this Pokémon can't use attacks. 140",https://assets.tcgdex.net/en/me/me01/081/high.png,me01-081,Uncommon,Fighting,Pokemon,Hitoshi Ariga,130,Basic,I,me01,Mega Evolution
082,Nacli,Ram:  10,https://assets.tcgdex.net/en/me/me01/082/high.png,me01-082,Common,Fighting,Pokemon,sowsow,70,Basic,I,me01,Mega Evolution
083,Naclstack,Rock Hurl: This attack's damage isn't affected by Resistance. 50,https://assets.tcgdex.net/en/me/me01/083/high.png,me01-083,Common,Fighting,Pokemon,kodama,110,Stage1,I,me01,Mega Evolution
084,Garganacl,Powerful a-Salt: Attacks used by your {F} Pokémon do 30 more damage to your opponent's Active Pokémon (before applying Weakness and Resistance). Hammer In:  130,https://assets.tcgdex.net/en/me/me01/084/high.png,me01-084,Uncommon,Fighting,Pokemon,danciao,180,Stage2,I,me01,Mega Evolution
085,Crawdaunt,"Vise Grip:  30 / Cutting Riposte: If this Pokémon has any damage counters on it, this attack can be used for {D}. 130",https://assets.tcgdex.net/en/me/me01/085/high.png,me01-085,Uncommon,Darkness,Pokemon,kawayoo,130,Stage1,I,me01,Mega Evolution
086,Mega Absol ex,"Terminal Period: If your opponent's Active Pokémon has exactly 6 damage counters on it, that Pokémon is Knocked Out. / Claw of Darkness: Your opponent reveals their hand, and you discard a card you find there. 200",https://assets.tcgdex.net/en/me/me01/086/high.png,me01-086,Double rare,Darkness,Pokemon,aky CG Works,280,Basic,I,me01,Mega Evolution
087,Spiritomb,"Spiteful Swirl: If your Active {D} Pokémon is damaged by an attack from your opponent's Pokémon (even if your Active {D} Pokémon is Knocked Out), place 1 damage counter on the Attacking Pokémon. Mountain Breaker: Discard the top card of your opponent's deck. 10",https://assets.tcgdex.net/en/me/me01/087/high.png,me01-087,Uncommon,Darkness,Pokemon,mingo,80,Basic,I,me01,Mega Evolution
088,Yveltal,"Clutch: During your opponent's next turn, the Defending Pokémon can't retreat. 20 / Dark Feather:  110",https://assets.tcgdex.net/en/me/me01/088/high.png,me01-088,Rare,Darkness,Pokemon,akagi,110,Basic,I,me01,Mega Evolution
089,Nickit,Darkness Fang:  20,https://assets.tcgdex.net/en/me/me01/089/high.png,me01-089,Common,Darkness,Pokemon,Souichirou Gunjima,70,Basic,I,me01,Mega Evolution
